experiment,update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,model,lr,val_loss,discount
1.MiniGrid-RedBlueDoors-6x6-v0_mamba_lr0.0001_ent0.0_vl0.5_disc0.99,93.5,191488.0,810.1854759726987,309.9,0.3011247156095716,0.3679409159005004,0.0,0.9296249985694885,201.20855508870216,209.9729543967495,9.5,688.3,0.0,0.08155846371082584,-0.0018370042195328617,0.00632809047674523,0.11589752887514318,0.3011247156095716,0.3679409159005004,0.0,0.9296249985694885,mamba,0.0001,0.5,0.99
10.MiniGrid-RedBlueDoors-6x6-v0_mamba_lr0.0001_ent0.01_vl1.0_disc0.99,93.5,191488.0,826.3392330161192,333.3,0.06775000020861621,0.19649214705342793,0.0,0.6982499957084656,344.28125,263.7961375662209,5.7,720.0,0.01,0.012867675708002879,-3.633918636295997e-05,0.0007411233264832409,0.01896200786387355,0.06775000020861621,0.19649214705342793,0.0,0.6982499957084656,mamba,0.0001,1.0,0.99
100.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.0_vl1.0_disc0.99,93.5,191488.0,706.7297392432486,404.9,0.0,0.0,0.0,0.0,678.175,123.11193710349062,296.3,720.0,0.0,-0.00013196169609843754,-1.2923909820640098e-05,8.795801152712665e-06,0.01418089930848418,0.0,0.0,0.0,0.0,transformer,0.01,1.0,0.99
101.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.0_vl1.0_disc0.95,93.5,191488.0,658.2155548488018,427.4,0.0,0.0,0.0,0.0,569.2,252.1873660504054,20.1,720.0,0.0,-0.0007973251777002498,-0.0009125376406473099,0.00010493103306358509,0.11127557568561555,0.0,0.0,0.0,0.0,transformer,0.01,1.0,0.95
102.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.0_vl1.0_disc0.9,93.5,191488.0,642.328352834047,419.4,0.07894531115889547,0.17601770115306142,0.0,0.5866249859333038,378.80625,270.10773674039444,13.5,720.0,0.0,0.0070163368622160995,0.007258605501192519,0.002165667587031402,0.347303695733897,0.07894531115889547,0.17601770115306142,0.0,0.5866249859333038,transformer,0.01,1.0,0.9
103.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.01_vl0.5_disc0.99,93.5,191488.0,613.8509759690656,428.4,0.06924999933689828,0.19804691707491973,0.0,0.715999984741211,448.5375,272.6055323356714,24.7,720.0,0.01,0.02465692724799732,0.0027637384759145404,0.001020686928022104,0.09671365314930613,0.06924999933689828,0.19804691707491973,0.0,0.715999984741211,transformer,0.01,0.5,0.99
104.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.01_vl0.5_disc0.95,93.5,191488.0,577.8726413789843,413.3,0.046664062887430156,0.14796089505915844,0.0,0.5651250004768371,434.05625,259.2420061075278,64.1,720.0,0.01,0.00251118141991353,0.00050214679462214,0.0007348450636646431,0.06027205495090025,0.046664062887430156,0.14796089505915844,0.0,0.5651250004768371,transformer,0.01,0.5,0.95
105.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.01_vl0.5_disc0.9,93.5,191488.0,640.506035260283,408.2,0.09041406419128176,0.21630664726597953,0.0,0.7513750076293946,382.2625,269.59192717814534,40.7,720.0,0.01,0.003978349347744331,0.00536010026207802,0.0006249735244334847,0.06940435476276388,0.09041406419128176,0.21630664726597953,0.0,0.7513750076293946,transformer,0.01,0.5,0.9
106.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.01_vl1.0_disc0.99,93.5,191488.0,598.3785766446426,441.3,0.06990624889731403,0.15426560633356232,0.0,0.49712500274181365,478.30625,259.1674971488543,33.4,720.0,0.01,0.025405657156534263,0.00199586071994417,0.0017467310752891385,0.2665041878035378,0.06990624889731403,0.15426560633356232,0.0,0.49712500274181365,transformer,0.01,1.0,0.99
107.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.01_vl1.0_disc0.95,93.5,191488.0,627.4358705812917,380.4,0.07342187436297534,0.16679824745748456,0.0,0.5653750002384186,333.94375,253.19935099270893,34.4,720.0,0.01,-0.036636595344316396,-0.03984368126330078,0.0027797630836882484,0.4876904096035147,0.07342187436297534,0.16679824745748456,0.0,0.5653750002384186,transformer,0.01,1.0,0.95
108.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.01_ent0.01_vl1.0_disc0.9,93.5,191488.0,621.5665366727001,391.6,0.034195312950760094,0.08677858097407767,0.0,0.30037500858306887,450.725,278.0153627985889,23.2,720.0,0.01,0.008261209332522381,0.00962222120760996,0.0018508570495284783,0.3793450511018773,0.034195312950760094,0.08677858097407767,0.0,0.30037500858306887,transformer,0.01,1.0,0.9
11.MiniGrid-RedBlueDoors-6x6-v0_mamba_lr0.0001_ent0.01_vl1.0_disc0.95,93.5,191488.0,841.3901168438042,317.9,0.09472656198777253,0.22841706018819058,0.0,0.727999997138977,384.36875,285.0580764352508,6.8,720.0,0.01,0.00552360191745715,-0.0007556682654012765,0.0011563812427226258,0.024354174165758587,0.09472656198777253,0.22841706018819058,0.0,0.727999997138977,mamba,0.0001,1.0,0.95
12.MiniGrid-RedBlueDoors-6x6-v0_mamba_lr0.0001_ent0.01_vl1.0_disc0.9,93.5,191488.0,768.9609824069446,330.0,0.05139062553644177,0.13838148174880396,0.0,0.5150000065565109,448.525,276.18237288667376,17.2,720.0,0.01,0.0013987884253878844,0.00145264318485942,0.00015345382818735535,0.00769442726016571,0.05139062553644177,0.13838148174880396,0.0,0.5150000065565109,mamba,0.0001,1.0,0.9
13.MiniGrid-RedBlueDoors-6x6-v0_mamba_lr0.001_ent0.0_vl0.5_disc0.99,93.5,191488.0,880.9941656682468,289.1,0.5035504813723108,0.46143460114831497,0.0,0.9806249976158142,40.87981535476117,42.727156036983054,2.6,235.4,0.0,0.42139396741986274,-0.009183758171639038,0.04174578323436431,0.14571748582226135,0.5035504813723108,0.46143460114831497,0.0,0.9806249976158142,mamba,0.001,0.5,0.99
